id,title,genre,language,studio,release_year,rating,views_24h
title:1,The Last Horizon,action,english,StreamFlix Originals,2025,5,4500
title:2,Neon Nights,action,english,Summit Pictures,2024,4,3200
title:3,Shadow Protocol,action,english,StreamFlix Originals,2025,4,2800
title:4,Iron Vanguard,action,spanish,Summit Pictures,2023,3,1900
title:5,Ember Pursuit,action,hindi,Crimson Studios,2024,4,2100
title:6,Gale Force Unit,action,english,Crimson Studios,2025,5,3700
title:7,The Comedy Club,comedy,english,StreamFlix Originals,2024,4,3800
title:8,Laugh Track,comedy,english,Summit Pictures,2023,3,2400
title:9,Funny Business,comedy,spanish,StreamFlix Originals,2025,4,2900
title:10,Stand Up Fall Down,comedy,english,Crimson Studios,2024,5,3100
title:11,The Punchline,comedy,hindi,Summit Pictures,2025,3,1800
title:12,Sitcom Dreams,comedy,english,Emerald Films,2023,4,2200
title:13,Broken Silence,drama,english,StreamFlix Originals,2025,5,3200
title:14,The Long Road,drama,english,Summit Pictures,2024,4,2600
title:15,Echoes of Time,drama,english,StreamFlix Originals,2023,5,2100
title:16,Still Waters,drama,english,Crimson Studios,2025,4,1700
title:17,The Quiet Divide,drama,spanish,StreamFlix Originals,2024,5,1500
title:18,Unspoken Words,drama,english,Emerald Films,2025,4,1900
title:19,Fading Light,drama,english,Summit Pictures,2023,4,1400
title:20,Threads of Hope,drama,spanish,Crimson Studios,2024,5,1300
title:21,Midnight Corridor,thriller,english,StreamFlix Originals,2025,5,3600
title:22,Cold Trail,thriller,english,Summit Pictures,2024,4,2700
title:23,The Unseen Path,thriller,english,Crimson Studios,2023,4,2300
title:24,Double Cross,thriller,spanish,StreamFlix Originals,2025,3,1600
title:25,Hush Verdict,thriller,hindi,Summit Pictures,2024,5,2000
title:26,Frayed Margins,thriller,english,Emerald Films,2025,4,1800
title:27,Love in Paris,romance,english,StreamFlix Originals,2024,4,2500
title:28,Second Chances,romance,english,Summit Pictures,2025,5,2800
title:29,Letters at Dusk,romance,spanish,Crimson Studios,2023,4,1600
title:30,Heartstrings,romance,hindi,StreamFlix Originals,2024,3,1400
title:31,Tides of Affection,romance,english,Emerald Films,2025,5,2100
title:32,Starfall,sci-fi,english,StreamFlix Originals,2025,5,3400
title:33,Quantum Drift,sci-fi,english,Summit Pictures,2024,4,2900
title:34,The Void Between,sci-fi,english,Crimson Studios,2023,4,2200
title:35,Parallel Worlds,sci-fi,spanish,StreamFlix Originals,2025,3,1700
title:36,Nebula Rising,sci-fi,hindi,Emerald Films,2024,4,1500
title:37,Haunted Manor,horror,english,StreamFlix Originals,2025,4,2600
title:38,The Darkness Below,horror,english,Summit Pictures,2024,3,2000
title:39,Whispers in Walls,horror,english,Crimson Studios,2023,5,1800
title:40,Night Terrors,horror,spanish,Emerald Films,2025,4,1400
title:41,The Great Journey,documentary,english,StreamFlix Originals,2024,5,1900
title:42,Ocean Deep,documentary,english,Summit Pictures,2025,4,1600
title:43,Untamed Frontier,documentary,hindi,Crimson Studios,2023,5,1300
title:44,Human Stories,documentary,english,Emerald Films,2024,4,1100
title:45,Crowns and Conquests,documentary,spanish,StreamFlix Originals,2025,4,1200
title:46,Pixel Warriors,animation,english,StreamFlix Originals,2025,5,3100
title:47,The Magic Forest,animation,english,Summit Pictures,2024,4,2700
title:48,Painted Skies,animation,spanish,Crimson Studios,2023,4,2000
title:49,Sky Riders,animation,hindi,Emerald Films,2025,3,1600
title:50,Robot Friends,animation,english,StreamFlix Originals,2024,5,2400
