doc_id,kb_id,doc_type,title,product_family,region,channel,language,status,confidence_level,customer_visible,effective_start,effective_end,last_updated,severity
ts_001,3,setup_guide,PulseFit Band 4 Initial Setup and Pairing Guide,PulseFit Band 4,US,web/app/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-08,low
ts_002,3,troubleshooting_article,PulseFit Band Sync Troubleshooting (iOS/Android),PulseFit Band 4 / PulseFit Band 4 Pro,US,web/app/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-11,medium
ts_003,3,known_issue_bulletin,Known Issue: Sync Delays After Firmware 4.2.1,PulseFit Band 4 / PulseFit Band 4 Pro,US,contact-center,en-US,active,official,false,2026-02-18,2026-03-15,2026-02-18,high
ts_004,3,workaround_note,Temporary Workaround for Firmware 4.2.1 Sync Delay,PulseFit Band 4 / PulseFit Band 4 Pro,US,contact-center,en-US,active,curated,false,2026-02-18,2026-03-15,2026-02-18,high
ts_005,3,case_resolution_curated,Case Pattern: Pairing Fails on iPhone After App Permission Denial,PulseFit Band 4,US,contact-center,en-US,approved,curated,false,2026-01-10,2026-12-31,2026-02-14,medium
ts_006,3,support_transcript_redacted,Transcript: Repeated Sync Failure Resolved by Re-auth,PulseFit Band 4 Pro,US,contact-center,en-US,approved,raw,false,2026-01-01,2026-12-31,2026-02-09,medium
ts_007,3,known_issue_bulletin,Known Issue Resolved: Firmware 4.1.x Bluetooth Reconnect Loop,PulseFit Band 4,US,contact-center,en-US,resolved,official,false,2025-11-01,2026-01-20,2026-01-20,medium
ts_008,3,workaround_note,Legacy Bluetooth Reconnect Workaround (Deprecated),PulseFit Band 4,US,contact-center,en-US,deprecated,curated,false,2025-11-01,2026-01-20,2026-01-21,medium
ts_009,3,troubleshooting_article,PowerBase Charging Dock Charging Interruption Troubleshooting,PowerBase Charging Dock / PulseFit Band Series,US,web/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-05,low
ts_010,3,case_resolution_curated,Case Pattern: Charging Failure Caused by Protective Film on Contacts,PowerBase Charging Dock,US,contact-center,en-US,approved,curated,false,2026-01-01,2026-12-31,2026-02-16,low
ts_011,3,support_transcript_redacted,Transcript: Outdated Advice Using Deprecated Reinstall Flow,PulseFit Band 4,US,contact-center,en-US,approved,raw,false,2026-01-01,2026-12-31,2026-02-09,medium
ts_012,3,setup_guide,AeroTrack Pro Earbuds Initial Setup Guide,AeroTrack Pro,US,web/app/contact-center,en-US,approved,official,true,2026-01-01,2026-12-31,2026-02-15,low
