doc_id,kb_id,doc_type,title,product_family,region,channel,language,status,confidence_level,customer_visible,last_updated
pk_001,1,product_description,AeroFlex Runner 2 Product Page,AeroFlex Runner 2,US,web,en-US,approved,official,true,2026-02-15
pk_002,1,product_description,StrideMax Cushion Pro Product Page,StrideMax Cushion Pro,US,web,en-US,approved,official,true,2026-02-15
pk_002_qa,1,product_qa,StrideMax Cushion Pro Community Q&A Thread,StrideMax Cushion Pro,US,web,en-US,active,community,true,2026-02-20
pk_002_rv,1,product_review_summary,StrideMax Cushion Pro Review Summary (US),StrideMax Cushion Pro,US,web,en-US,approved,curated,true,2026-02-18
pk_003,1,product_review_summary,AeroFlex Runner 2 Review Summary (US),AeroFlex Runner 2,US,web,en-US,approved,curated,true,2026-02-18
pk_002b,1,product_reviews_raw,StrideMax Cushion Pro Reviews JSONL,StrideMax Cushion Pro,US,web,en-US,active,community,false,2026-02-18
pk_003b,1,product_reviews_raw,AeroFlex Runner 2 Reviews JSONL,AeroFlex Runner 2,US,web,en-US,active,community,false,2026-02-18
pk_004,1,product_qa,AeroFlex Runner 2 Community Q&A Thread,AeroFlex Runner 2,US,web,en-US,active,community,true,2026-02-20
pk_005,1,fit_sizing_guide,Full Catalog Fit & Sizing Guide (Accent Athletics),All Products,US,web,en-US,approved,official,true,2026-02-26
pk_006,1,substitution_guidance,Full Catalog Substitution Playbook (Support),All Products,US,contact-center,en-US,approved,curated,false,2026-02-26
pk_007,1,fit_sizing_guide,AeroFlex Runner 2 Legacy Fit Note (Deprecated),AeroFlex Runner 2,US,web,en-US,deprecated,official,false,2025-05-11
pk_010,1,product_description,TrailCore Grip 5 Product Page,TrailCore Grip 5,US,web,en-US,approved,official,true,2026-02-15
pk_010_qa,1,product_qa,TrailCore Grip 5 Community Q&A Thread,TrailCore Grip 5,US,web,en-US,active,community,true,2026-02-20
pk_010_rv,1,product_review_summary,TrailCore Grip 5 Review Summary (US),TrailCore Grip 5,US,web,en-US,approved,curated,true,2026-02-18
pk_010b,1,product_reviews_raw,TrailCore Grip 5 Reviews JSONL,TrailCore Grip 5,US,web,en-US,active,community,false,2026-02-18
pk_011,1,product_description,SprintEdge Racer Product Page,SprintEdge Racer,US,web,en-US,approved,official,true,2026-02-15
pk_011_qa,1,product_qa,SprintEdge Racer Community Q&A Thread,SprintEdge Racer,US,web,en-US,active,community,true,2026-02-20
pk_011_rv,1,product_review_summary,SprintEdge Racer Review Summary (US),SprintEdge Racer,US,web,en-US,approved,curated,true,2026-02-18
pk_011b,1,product_reviews_raw,SprintEdge Racer Reviews JSONL,SprintEdge Racer,US,web,en-US,active,community,false,2026-02-18
pk_012,1,product_description,CloudWalk Recovery Slide Product Page,CloudWalk Recovery Slide,US,web,en-US,approved,official,true,2026-02-15
pk_012_qa,1,product_qa,CloudWalk Recovery Slide Community Q&A Thread,CloudWalk Recovery Slide,US,web,en-US,active,community,true,2026-02-20
pk_012_rv,1,product_review_summary,CloudWalk Recovery Slide Review Summary (US),CloudWalk Recovery Slide,US,web,en-US,approved,curated,true,2026-02-18
pk_012b,1,product_reviews_raw,CloudWalk Recovery Slide Reviews JSONL,CloudWalk Recovery Slide,US,web,en-US,active,community,false,2026-02-18
pk_013,1,product_description,FlexForm Training Shoe Product Page,FlexForm Training Shoe,US,web,en-US,approved,official,true,2026-02-15
pk_013_qa,1,product_qa,FlexForm Training Shoe Community Q&A Thread,FlexForm Training Shoe,US,web,en-US,active,community,true,2026-02-20
pk_013_rv,1,product_review_summary,FlexForm Training Shoe Review Summary (US),FlexForm Training Shoe,US,web,en-US,approved,curated,true,2026-02-18
pk_013b,1,product_reviews_raw,FlexForm Training Shoe Reviews JSONL,FlexForm Training Shoe,US,web,en-US,active,community,false,2026-02-18
pk_014,1,product_description,AeroFlex Runner 2 Wide Product Page,AeroFlex Runner 2 Wide,US,web,en-US,approved,official,true,2026-02-15
pk_014_rv,1,product_review_summary,AeroFlex Runner 2 Wide Review Summary (US),AeroFlex Runner 2 Wide,US,web,en-US,approved,curated,true,2026-02-18
pk_014b,1,product_reviews_raw,AeroFlex Runner 2 Wide Reviews JSONL,AeroFlex Runner 2 Wide,US,web,en-US,active,community,false,2026-02-18
pk_015,1,product_description,DryStride Performance Tee Product Page,DryStride Performance Tee,US,web,en-US,approved,official,true,2026-02-15
pk_015_qa,1,product_qa,DryStride Performance Tee Community Q&A Thread,DryStride Performance Tee,US,web,en-US,active,community,true,2026-02-20
pk_015_rv,1,product_review_summary,DryStride Performance Tee Review Summary (US),DryStride Performance Tee,US,web,en-US,approved,curated,true,2026-02-18
pk_015b,1,product_reviews_raw,DryStride Performance Tee Reviews JSONL,DryStride Performance Tee,US,web,en-US,active,community,false,2026-02-18
pk_016,1,product_description,ThermoShield Running Jacket Product Page,ThermoShield Running Jacket,US,web,en-US,approved,official,true,2026-02-15
pk_016_qa,1,product_qa,ThermoShield Running Jacket Community Q&A Thread,ThermoShield Running Jacket,US,web,en-US,active,community,true,2026-02-20
pk_016_rv,1,product_review_summary,ThermoShield Running Jacket Review Summary (US),ThermoShield Running Jacket,US,web,en-US,approved,curated,true,2026-02-18
pk_016b,1,product_reviews_raw,ThermoShield Running Jacket Reviews JSONL,ThermoShield Running Jacket,US,web,en-US,active,community,false,2026-02-18
pk_017,1,product_description,FlexStride Running Short 7in Product Page,FlexStride Running Short,US,web,en-US,approved,official,true,2026-02-15
pk_017_rv,1,product_review_summary,FlexStride Running Short Review Summary (US),FlexStride Running Short,US,web,en-US,approved,curated,true,2026-02-18
pk_017b,1,product_reviews_raw,FlexStride Running Short Reviews JSONL,FlexStride Running Short,US,web,en-US,active,community,false,2026-02-18
pk_018,1,product_description,EnduroFit Compression Tight Product Page,EnduroFit Compression Tight,US,web,en-US,approved,official,true,2026-02-15
